YEAR,MO,DY,HR,Avg Power,Irradiance(Ideal),Temperature,Precipitation,Wind Speed,Wind Direction,Specific Humidity,Wind Speed(50M),Wind Direction(50M),Surface Pressure,Relative Humidity,PM2.5,PM10,WS,WD
2021,1,4,19,0.0,0.0,15.82,0.01,3.18,252.99,9.83,4.66,252.35,99.1,86.44,83.51,125.33,1.75,254.18
2021,1,4,20,0.0,0.0,14.96,0.0,0.94,29.33,9.7,1.78,34.25,99.01,90.44,76.54,92.65,2.19,90.14
2021,1,4,21,0.0,0.0,15.42,0.01,2.83,41.2,9.58,4.5,42.53,98.92,86.19,59.64,85.07,2.13,93.7
2021,1,4,22,0.0,0.0,15.37,0.03,3.48,46.0,9.46,5.46,47.49,98.81,85.5,43.07,62.82,1.41,166.16
2021,1,4,23,0.0,0.0,14.78,0.13,1.83,45.0,9.52,3.84,47.06,98.87,89.44,33.9,54.76,0.32,240.06
2021,1,5,0,0.0,0.0,14.63,0.11,2.49,45.76,9.58,4.71,47.49,98.85,90.62,29.7,43.42,0.59,47.27
2021,1,5,1,0.0,0.0,14.6,0.17,4.05,44.61,9.58,6.2,45.92,98.8,91.25,27.97,64.21,0.76,132.32
2021,1,5,2,0.0,0.0,14.4,0.34,5.1,40.47,9.7,7.06,41.68,98.74,93.19,25.54,46.12,0.17,131.82
2021,1,5,3,0.0,0.0,14.13,0.28,3.24,38.64,9.7,5.24,40.89,98.83,95.31,26.49,51.38,0.55,103.31
2021,1,5,4,0.0,0.0,14.23,0.58,4.32,43.39,9.77,6.65,44.29,98.79,95.19,23.57,47.41,0.9,113.81
2021,1,5,5,0.0,0.0,14.35,1.05,4.44,41.15,9.89,6.93,42.07,98.79,95.44,23.8,49.93,0.54,98.25
2021,1,5,6,0.0,0.0,14.26,2.47,3.0,32.57,9.95,5.59,33.42,98.9,96.69,22.52,38.31,0.78,90.65
2021,1,5,7,37.32,33.23,14.83,3.42,3.12,31.18,10.13,5.19,31.9,99.02,95.19,22.52,54.56,0.94,214.52
2021,1,5,8,147.12,120.0,15.81,0.94,3.91,40.54,10.5,4.84,41.53,99.02,92.44,45.38,51.72,0.82,109.02
2021,1,5,9,925.0,197.3,17.19,0.08,2.87,59.25,10.8,3.3,61.43,99.1,87.12,44.36,63.4,0.57,82.9
2021,1,5,10,4924.0,300.96,18.47,0.0,3.31,77.74,10.62,3.89,79.12,99.02,78.94,37.41,66.78,0.74,105.76
2021,1,5,11,9577.32,387.69,19.62,0.01,3.98,85.27,10.31,4.73,86.49,98.89,71.19,51.7,102.53,1.23,104.32
2021,1,5,12,6301.32,280.2,21.03,0.02,4.41,96.41,9.83,5.3,97.8,98.78,62.19,48.45,110.53,0.51,77.09
2021,1,5,13,3569.32,179.27,22.11,0.04,4.57,111.78,9.46,5.55,112.95,98.67,55.94,38.69,123.94,0.69,92.49
2021,1,5,14,5124.68,154.17,22.32,0.02,4.3,124.7,9.22,5.36,125.15,98.61,53.75,55.75,133.9,1.25,40.55
2021,1,5,15,4365.68,119.15,21.38,0.01,2.71,131.26,9.64,4.82,131.65,98.58,59.5,59.46,137.7,1.41,45.42
2021,1,5,16,1784.68,29.55,19.44,0.01,2.27,136.12,9.89,4.69,136.28,98.59,69.0,62.27,129.61,1.29,71.48
2021,1,5,17,0.0,0.0,17.51,0.01,2.79,138.98,9.03,5.25,139.1,98.63,70.94,57.45,120.66,1.03,51.26
2021,1,5,18,0.0,0.0,16.84,0.01,2.96,139.28,8.67,5.86,139.32,98.68,71.19,67.81,97.58,0.78,94.87
2021,1,5,19,0.0,0.0,16.23,0.01,3.0,138.27,8.36,6.17,138.18,98.73,71.81,66.37,102.88,1.02,105.79
2021,1,5,20,0.0,0.0,15.72,0.04,2.98,140.64,8.24,6.32,140.57,98.75,72.88,52.49,104.94,0.6,100.56
2021,1,5,21,0.0,0.0,15.6,0.07,2.81,151.8,8.24,6.14,151.84,98.76,73.62,76.97,114.22,0.38,125.32
2021,1,5,22,0.0,0.0,15.65,0.16,2.62,171.07,8.48,5.7,170.94,98.77,75.44,55.3,118.07,0.11,142.88
